Topic,Top Words
71,"rrta, fica, remuneration, fela, rra, nierotko, railroad, bnsf, retirement, wages"
72,"fsia, ioia, verlinden, immunity, samantar, sovereign, schooner, sovereigns, ifc, foreign"
73,"sovereign, kiowa, immunity, tribe, lundgrens, sherrill, immovable, tribes, tribal, yakima"
74,"teague, schriro, postconviction, whorton, summerlin, collateral, retroactivity, simmons, retroactively, habeas"
75,"bucklew, lethal, execution, glossip, injection, baze, nitrogen, pentobarbital, protocol, inmate"
76,"kaestner, undistributed, trust, greenough, settlor, nonresident, beneficiary, trustee, contacts, grantor"
77,"dialing, atds, dialed, sequential, telemarketers, generator, prerecorded, autodialer, random, glasser"
78,"heroes, borrowers, forgiveness, loan, loans, pause, forgive, bb, pandemic, forbearance"
79,"nominal, flanigan, stachura, farrar, mootness, piphus, moot, compensatory, damages, carey"
80,"williamson, ripeness, takings, inverse, unripe, township, knick, remo, ripe, compensation"
81,"lutheran, davey, trinity, theology, scholarships, devotional, scholarship, zelman, locke, comer"
82,"precinct, ballots, voter, absentee, voting, ballot, turnout, voters, polling, oop"
83,"ryder, facto, utier, aurelius, appointments, lucia, validate, pointments, pointment, nguyen"
84,"amex, interbrand, cardholder, cardholders, steering, leegin, mastercard, merchant, anticompetitive, vertical"
85,"haiti, salvador, yemen, honduras, tps, hurricane, gdp, shortages, recipients, rsch"
86,"arbitrability, bielski, coinbase, griggs, suski, interlocutory, stays, divestiture, bitration, arbitration"
87,"assignor, assignors, signor, estoppel, hologic, minerva, assignee, formica, truckai, toppel"
88,"nassar, causation, motivating, adea, waterhouse, discrimination, causa, vii, comcast, trait"
89,"electors, ballot, chiafalo, thornton, ballots, qualifications, nominee, presidential, candidate, elector"
90,"camarillo, pereira, inadmissibility, deportability, inadmissible, iirira, deportable, alien, judulang, cancellation"
91,"client, cronic, mccoy, faretta, lawyer, ortega, garza, guilt, anders, counsel"
92,"ssa, alj, claimant, claimants, apfel, sims, salfi, exhaustion, aljs, untimeliness"
93,"tribunal, tribunals, arbitral, servotronics, arbitrations, zf, smit, lithuania, luxshare, intel"
94,"asbestos, manufacturer, kermarec, maritime, foreseeability, warn, insulation, navy, manufacturers, metal"
95,"lenity, ambiguity, grievous, ambiguities, ambiguous, esquivel, santos, harsher, canons, wooden"
96,"edmond, inferior, apjs, arthrex, apj, freytag, nephew, principal, appointments, stjs"
97,"npdes, pollutants, groundwater, pollutant, cwa, pollu, discharges, pollution, nonpoint, navigable"
98,"bajakajian, forfeitures, fines, forfeiture, excessive, timbs, forfei, feiture, fine, browning"
99,"acquittal, retrial, mcelrath, acquittals, jeopardy, acquitted, mistrial, verdict, acquit, double"
100,"lanham, steele, aramco, rjr, extraterri, nabisco, extrater, territoriality, hetronic, abroad"
101,"nutraceutical, lambert, kontrick, untimely, deadline, decertification, eberhart, reconsideration, timely, carlisle"
102,"unlicensed, clinics, centers, licensed, zauderer, pregnancy, advertise, advertising, abortifacients, referral"
103,"ancs, isda, anc, ancsa, isdeaa, natives, frts, cares, villages, nahasda"
104,"sunbeam, tempnology, licensor, lubrizol, licensee, executory, licensors, licensees, bildisco, debtor"
105,"ncaa, procompetitive, amateurism, sports, athletes, amateur, bannon, athlete, anticompetitive, athletics"
106,"trail, footpath, trails, appalachian, traversed, scenic, forests, forest, parkway, mla"
107,"cic, irs, tia, tax, taxpayers, assessment, taxes, taxpayer, brohl, aia"
108,"clarkston, wwh, sb, heartbeat, redressed, roa, standing, clerks, traceable, enjoin"
109,"expropriation, nazi, holocaust, germany, nazis, genocide, cassirer, philipp, fsia, german"
110,"dysphoria, lgbtq, adolescents, gender, transgender, youth, heterosexual, foster, couples, lgbt"
111,"booking, genericness, trademark, generic, distinctiveness, protectable, mark, descriptive, trademarks, teflon"
112,"habitat, frog, gopher, dusky, fws, species, esa, markle, endangered, conservation"
113,"manipulative, misstatements, ernst, scienter, artifice, deceptive, misstatement, fraudulent, securities, stoneridge"
114,"bivens, abbasi, hernndez, westfall, malesko, ziglar, mesa, hesitation, ftca, rogue"
